ID,Term_EN,Term_DE,Definition_EN,Definition_DE,Domain,Safety_Level
AUG-1004,Loop Laugh,Loop-Lachen,,"Ein selbstverstärkender Humor-Loop zwischen Mensch und KI, der Spannung abbaut und Fehler entdramatisiert. Funktional, nicht kindisch.",fun,2
AUG-1046,Nudge Laugh,Schubs-Lachen,,"Eine humorvolle Korrektur, die Akzeptanz erleichtert.",fun,2
AUG-1052,Backward Laugh,Rückwärts-Lachen,,"Humor, der zeitversetzt wirkt: Erst versteht man den Witz, dann lacht man über die eigene Reaktion darauf.",fun,2
AUG-1037,Adjustment Aha,Anpassungs-Aha,,"Der Erkenntnismoment, dass nicht der Output falsch war, sondern die Eingabe unklar.",fun,2
AUG-0625,The Everyday Insight,,"An insight gained through AI interaction that changes the user in everyday life — a new perspective on an everyday phenomenon, a surprising connection, or a helpful reinterpretation. Related to AUG-0292 (The View Shift), AUG-0248 (The Surprise Angle), and AUG-0054 (Augmented Understanding).","Eine durch KI-Interaktion gewonnene Erkenntnis, die den Nutzer im Alltag verändert — eine neue Perspektive auf ein alltägliches Phänomen, eine überraschende Verbindung oder eine hilfreiche Umdeutung. Steht in Verbindung mit AUG-0292 (The View Shift), AUG-0248 (The Surprise Angle) und AUG-0054 (Augmented Understanding).",compendium,2
AUG-0670,The Rhetorical Tone Detector,,"The individual ability of a user to recognize and classify the rhetorical tone of an AI output — whether the AI formulates seriously, ironically, neutrally, or exaggeratingly. This ability varies strongly between users. Related to AUG-0669 (The Rhetorical Style Differential), AUG-0668 (The Humor Portability), and AUG-0451 (The Token Awareness).","Die individuelle Fähigkeit eines Nutzers, den rhetorischen Ton eines KI-Outputs zu erkennen und einzuordnen — ob die KI ernst, ironisch, neutral oder übertreibend formuliert. Diese Fähigkeit variiert stark zwischen Nutzern. Steht in Verbindung mit AUG-0669 (The Rhetorical Style Differential), AUG-0668 (The Humor Portability) und AUG-0451 (The Token Awareness).",compendium,2
AUG-1050,Surprise Salad,Überraschungs-Salat,,"Ein bewusst chaotischer Input-Mix, aus dem die KI unerwartete, oft kreative Kombinationen erzeugt. Surprise Salad lebt vom Mut zur Inkohärenz.",fun,2
AUG-1040,Humor Hook,Humor-Haken,,"Gezielter Humor, um Spannung zu lösen und Arbeitsfähigkeit zurückzugewinnen.",fun,2
AUG-1027,Joy Jolt,Freude-Impuls,,"Ein kurzer, unerwarteter Moment von Freude, der Energie freisetzt.",fun,2
AUG-1051,Giggle Chain,Kicher-Kette,,"Eine sich selbst verstärkende Abfolge humorvoller Reaktionen, die Leichtigkeit erzeugt und kognitive Blockaden löst.",fun,2
AUG-1044,Joy Fix,Freude-Fix,,"Kurze Intervention, um Motivation und positive Stimmung wiederherzustellen.",fun,2
AUG-1005,Pause Power,Pause-Power,,"Die bewusste Unterbrechung zwischen Output und neuem Input, um impulsive Reaktionen zu vermeiden und die Qualität der nächsten Frage zu erhöhen.",fun,2
AUG-0088,Algorithmic Intuition,,"The ability of experienced AI users to develop, through extended practice, a ""sense"" for which type of input produces which type of result — without having to consciously analyze this each time. Describes implicit knowledge about AI system behavior that forms through experience. Related to AUG-0133 (Prompt Craftsmanship), Phase 6 (Integrated Work State), and the System-Builder Profile (Profile 1).","Die Fähigkeit erfahrener KI-Nutzer, nach längerer Praxis ein ""Gespür"" dafür zu entwickeln, welche Art von Eingabe welche Art von Ergebnis erzeugt — ohne dies jedes Mal bewusst analysieren zu müssen. Beschreibt ein implizites Wissen über die Funktionsweise von KI-Systemen, das sich durch Erfahrung bildet. Steht in Verbindung mit AUG-0133 (Prompt Craftsmanship), Phase 6 (Integrated Work State) und dem System-Builder-Profil (Profil 1).",compendium,2
AUG-1030,Oops Moment,Hups-Moment,,"Der bewusst akzeptierte Fehltritt der KI, der als Lernsignal genutzt wird. Kein Ärger, sondern schnelle Korrektur und Weitergehen.",fun,2
AUG-1059,Day Highlight,Tages-Highlight,,Die bewusste Markierung eines positiven Moments zur emotionalen Integration des Tages.,fun,2
AUG-1012,Serenity Spark,Ruhe-Funke,,"Ein kleiner sprachlicher Impuls, der unverhältnismäßig viel innere Ruhe auslöst. Oft minimal, aber emotional wirksam.",fun,2
AUG-1054,Fun Correct,Spaß-Korrektur,,"Fehlerkorrektur im spielerischen Ton, die Lernbereitschaft erhält statt Abwehr auszulösen.",fun,2
AUG-1022,Pride Pulse,Stolz-Impuls,,"Der bewusste Moment, in dem erreichte Fortschritte gespiegelt werden, um Selbstwirksamkeit zu stärken.",fun,2
AUG-1025,Heart High,Herzens-Hoch,,"Ein emotional intensivierter Zustand von Verbundenheit, Freude oder Sinn.",fun,2
AUG-1032,Learn Smile,Lern-Lächeln,,"Die Fähigkeit, Fehler mit Gelassenheit zu registrieren, weil der Lerngewinn klar erkennbar ist.",fun,2
AUG-1058,Discovery Ding,Entdeckungs-Ding,,"Unerwartete Erkenntnisse, die nicht gesucht, aber als wertvoll erkannt werden.",fun,2
AUG-1026,Motivation Mend,Motivations-Reparatur,,Das gezielte Wiederherstellen von Motivation nach Frustration oder Erschöpfung.,fun,2
AUG-1010,Calm Wave,Ruhe-Welle,,"Ein regulierender Interaktionsmodus, bei dem die KI bewusst Tempo, Sprachrhythmus und Komplexität reduziert, um das wahrgenommene Tempo zu senken. Calm Wave ist kein Ablenken, sondern ein gezieltes Runterfahren.",fun,2
AUG-1029,Gratitude Glow,Dankbarkeits-Leuchten,,"Ein reflektiver Zustand, in dem positive Aspekte bewusst wahrgenommen und emotional verankert werden.",fun,2
AUG-1034,Twist Dance,Twist-Tanz,,"Der kreative Richtungswechsel, der zunächst irritiert, dann neue Qualität erzeugt.",fun,2
AUG-1064,Heart Reset,Herzens-Reset,,"Das bewusste Zurücksetzen emotionaler Überladung, um wieder in Kontakt mit eigenen Bedürfnissen zu kommen.",fun,2
AUG-1067,Daily Duo,Tages-Duo,,Die ritualisierte Zusammenarbeit von Mensch und KI im Alltag.,fun,2
AUG-1015,Calm Shift,Ruhe-Wechsel,,"Ein klar benannter Übergang von einem hektischen, problemlastigen Modus in einen ruhigeren, reflektierenden Zustand.",fun,2
AUG-1018,Harmony Hug,Harmonie-Umarmung,,"Ein Moment starker emotionaler Kohärenz, in dem innere Spannungen sich lösen und ein Gefühl von Stimmigkeit entsteht.",fun,2
AUG-1023,Excitement Bubble,Begeisterungs-Blase,,"Ein emotionaler Aufwärtsmoment, in dem Möglichkeiten größer wirken als Risiken.",fun,2
AUG-1042,Positive Pivot,Positiver Drehpunkt,,Die bewusste Umformulierung von Problemen in handhabbare Optionen.,fun,2
AUG-1066,No-Stress Swap,Stress-Tausch,,Das bewusste Ersetzen überfordernder Aufgaben durch realistischere Alternativen.,fun,2
AUG-1061,Gratitude Turn,Dankbarkeits-Dreh,,Der bewusste Perspektivwechsel von Mangel zu Wertschätzung.,fun,2
AUG-1006,Idea Rain,Ideen-Regen,,"Eine Phase hoher Divergenz, in der Quantität bewusst vor Qualität steht. Auswahl und Bewertung erfolgen erst danach.",fun,2
AUG-1014,Relaxation Edit,Entspannungs-Überarbeitung,,"Das bewusste Nachbearbeiten eines Textes oder Gesprächs mit dem Ziel, Druck, Härte oder Überforderung sprachlich zu reduzieren.",fun,2
AUG-1019,Calm Rewind,Ruhiger Rücklauf,,"Das bewusste Zurückspulen eines Gesprächs oder Denkprozesses, um ihn langsamer, klarer und bewusster neu zu beginnen.",fun,2
AUG-1043,Calm Reset,Ruhe-Reset,"A brief pause and re-center after intense AI interaction, allowing energy to return before the next task. Distinct from extended rest — a short reset built into the work rhythm.","Eine kurze Pause und Neuzentrierung nach intensiver KI-Interaktion, die Energie zurückkehren lässt vor der nächsten Aufgabe. Unterscheidet sich von ausgedehnter Erholung — ein kurzer Reset im Arbeitsrhythmus.",fun,2
AUG-1055,High-Five Moment,High-Five-Moment,,"Der Moment gemeinsamer Zufriedenheit, wenn Output, Intention und Ergebnis übereinstimmen.",fun,2
AUG-0368,The Syntax Smile,,"The brief pleasure a user feels when the AI delivers a particularly elegant, apt, or surprisingly beautiful formulation. Related to AUG-0194 (The Positive Surprise), AUG-0110 (The Joy Imperative), and AUG-0031 (Semantic Spark).","Das kurze Vergnügen, das ein Nutzer empfindet, wenn die KI eine besonders elegante, treffende oder überraschend schöne Formulierung liefert. Steht in Verbindung mit AUG-0194 (The Positive Surprise), AUG-0110 (The Joy Imperative) und AUG-0031 (Semantic Spark).",compendium,2
AUG-0918,The Gesture Language,,"The communication between humans and embodied AI systems through gestures — hand signals, posture, movements that the system recognizes and interprets. Related to AUG-0917 (The Touch Interface), AUG-0919 (The Spatial Awareness), and AUG-0914 (The Physical Presence).","Die Kommunikation zwischen Menschen und verkörperten KI-Systemen durch Gesten — Handzeichen, Körperhaltung, Bewegungen, die das System erkennt und interpretiert. Steht in Verbindung mit AUG-0917 (The Touch Interface), AUG-0919 (The Spatial Awareness) und AUG-0914 (The Physical Presence).",compendium,2
AUG-0975,The Vigilance Rhythm,Der Aufmerksamkeits-Rhythmus,The observation that sustained AI-output verification benefits from a paced cadence: deliberate verification at chosen checkpoints rather than continuous monitoring. A rhythm of focused review and trusted intervals preserves attention quality over longer interactions.,"Die Beobachtung, dass das Überprüfen von KI-Ergebnissen über lange Zeit von einem getakteten Rhythmus profitiert: gezieltes Prüfen an gewählten Checkpunkten statt durchgehender Kontrolle. Ein Rhythmus aus fokussiertem Review und vertrauten Intervallen erhält die Aufmerksamkeits-Qualität.",compendium,2
AUG-1002,Quick Kick,Quick-Kick,,"Ein extrem kurzer, präziser Prompt mit sofortiger Wirkung auf Motivation, Fokus oder Entscheidungsfähigkeit. Kein Tiefgang, sondern Startenergie.",fun,2
AUG-1008,Vibe Check,Vibe-Check,,"Kurze Meta-Abfrage zur emotionalen, sozialen oder kulturellen Passung eines Outputs – getrennt vom sachlichen Inhalt.",fun,2
AUG-1028,Inspiration Breeze,Inspirations-Hauch,,Ein leichter kreativer Anstoß ohne Verpflichtung zur Umsetzung.,fun,2
AUG-1031,Correction Kick,Korrektur-Kick,,"Ein kurzer, präziser Eingriff, der den Output wieder auf Kurs bringt, ohne den Flow zu unterbrechen.",fun,2
AUG-1069,Smooth Sail,Ruhige Fahrt,,Ein Zustand reibungsloser Zusammenarbeit ohne Reibungsverluste oder Korrekturbedarf.,fun,2
AUG-1060,Gratitude Drop,Dankbarkeits-Tropfen,,"Ein einzelner Fokuspunkt, der Dankbarkeit konkret und greifbar macht.",fun,2
AUG-1003,Word Hunt,Wort-Jagd,,"Der kollaborative Suchprozess nach der einen Formulierung, die Bedeutung, Ton und Kontext exakt trifft. Entscheidend ist das iterative Nachschärfen.",fun,2
AUG-1011,Relaxation Breath,Entspannungs-Atem,,"Eine kurze, angeleitete Atem- oder Aufmerksamkeitsintervention durch die KI, um Stress zu senken oder einen Übergang zwischen kognitiven Zuständen zu ermöglichen.",fun,2
AUG-1013,Feel-Good Warm,Wohlfühl-Wärme,,"Ein emotional unterstützender Interaktionsstil, der Sicherheit, Zugehörigkeit und Akzeptanz vermittelt – ohne Problemlösung zu erzwingen.",fun,2
AUG-1017,Gentle Layer,Sanfte Schicht,,"Eine zusätzliche emotionale oder sprachliche Ebene, die Härte puffert und Kommunikation verträglicher macht, ohne Inhalte zu verzerren.",fun,2
